Показники,2002,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Україна,118.2,120.3,118.3,112.5,106.3,90.8,110.2,108.7,114.4,108.2,…,…,…,…,…
Україна*,х,х,х,х,х,х,110.2,108.7,114.4,108.2,93.5,79.8,109.0,109.0,112.5
Автономна Республіка Крим,117.5,118.7,118.6,111.7,104.2,90.4,108.9,105.2,116.1,110.0,…,…,…,…,…
Вінницька,118.9,122.7,120.5,111.9,108.7,94.7,111.9,110.2,118.0,110.0,94.9,81.3,111.9,128.7,115.5
Волинська,122.7,127.8,119.7,116.0,108.8,91.3,114.5,110.2,117.9,111.0,93.5,78.9,109.0,125.5,112.7
Дніпропетровська,114.0,122.4,113.1,106.4,102.3,89.1,112.8,108.7,112.0,106.7,97.1,78.8,102.3,119.1,115.8
Донецька,114.2,117.1,113.4,112.3,104.6,89.4,112.1,110.9,112.2,106.3,89.4,89.6,103.5,111.2,110.2
Житомирська,121.2,120.4,121.4,116.0,107.7,92.7,111.0,107.4,115.1,109.6,95.7,76.9,109.6,126.6,114.5
Закарпатська,121.5,123.5,119.7,113.6,111.6,95.5,109.0,105.7,114.2,109.4,95.6,80.0,112.6,129.2,112.5
Запорізька,116.1,111.4,116.5,112.7,102.7,87.4,110.2,110.0,112.0,108.1,96.6,80.8,107.3,116.8,114.8
Івано-Франківська,121.0,126.3,120.0,115.4,105.2,91.2,112.6,108.0,114.9,106.6,95.2,77.7,109.7,126.1,112.5
Київська,115.9,119.4,117.4,114.2,107.7,92.3,108.5,113.3,114.4,107.2,91.8,78.0,112.1,119.5,113.8
Кіровоградська,123.3,119.7,121.9,114.3,108.8,95.0,111.0,108.1,115.3,109.0,94.8,78.8,107.1,125.6,112.5
Луганська,122.6,118.5,114.3,109.2,106.2,90.6,113.8,110.1,111.7,107.6,86.4,71.7,118.0,111.7,111.9
Львівська,120.7,122.3,120.3,113.4,104.0,90.1,108.1,106.7,114.4,109.2,93.3,79.4,110.3,123.6,112.7
Миколаївська,117.2,116.2,118.4,110.4,105.3,95.8,108.2,105.7,116.1,109.8,95.8,78.9,108.3,118.4,110.3
Одеська,121.8,121.7,115.4,110.9,102.8,93.1,107.4,106.5,113.0,109.3,93.2,80.6,108.1,116.6,110.5
Полтавська,121.9,116.6,114.7,111.9,104.2,90.0,114.1,109.1,115.5,106.1,94.9,78.8,106.1,122.5,115.9
Рівненська,125.5,118.6,121.0,112.0,106.4,91.6,114.8,105.0,117.6,111.5,93.9,76.7,107.1,119.4,111.6
Сумська,118.0,121.1,117.9,109.5,108.6,94.5,107.9,108.8,115.1,109.5,94.8,78.4,104.3,124.3,110.6
Тернопільська,123.5,128.1,122.0,112.3,110.3,92.8,111.0,104.5,117.3,109.3,95.1,77.2,109.8,129.5,113.7
Харківська,121.0,118.0,119.4,111.1,104.0,90.4,107.6,108.7,114.2,109.3,93.9,77.3,106.2,119.6,110.1
Херсонська,120.6,122.4,117.5,113.2,104.5,93.6,107.9,104.3,115.3,109.4,94.5,78.3,112.7,123.3,109.5
Хмельницька,121.4,123.2,127.0,113.3,106.4,91.7,111.7,107.6,116.6,109.6,96.8,77.8,106.9,128.0,111.8
Черкаська,116.9,120.5,121.3,111.3,107.1,90.1,113.1,109.5,116.0,107.9,93.7,78.2,109.7,124.8,111.4
Чернівецька,120.6,125.1,119.5,113.0,107.4,95.6,111.5,105.9,118.0,108.0,93.2,78.1,112.1,129.1,112.7
Чернігівська,118.8,120.7,120.0,112.9,107.5,90.8,111.1,105.7,118.4,110.0,94.9,78.7,107.0,122.0,111.7
м. Київ,109.9,119.7,121.0,112.3,107.8,88.2,105.2,106.3,112.5,107.8,94.5,84.2,114.3,111.3,110.2
м. Севастополь,117.5,120.8,112.5,113.6,105.5,94.4,106.8,102.8,114.9,108.0,…,…,…,…,…
Всі дані наведено по юридичних особах та їхніх відокремлених підрозділах із кількістю найманих працівників 10 і більше осіб. ,,,,,,,,,,,,,,,
*Дані за 2014 рік наведено без урахування тимчасово окупованої території Автономної Республіки Крим та м. Севастополя, за 2015-2017 роки - також без частини тимчасово окупованих територій у Донецькій та Луганській областях.,,,,,,,,,,,,,,

